rt_seq_hash	family	n_genomes	n_species	n_genera	n_source_databases	n_physical_loci	unit	denominator
32bf64f5ba7cd675391ce8a142193f35e216e0d14ad3e29580335008fb24f8f2	RVT-UG3	2074	4	3	4	2150	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
db688e88e9e53de36a5a374e004400e0f57bb7e7767b409c425419480ecc292f	Retron	2055	1	1	3	1917	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
87ef4114453df39bd3bb47f7d2903e688e2bd9cf99d62e592b2e1cf2f50bb0a4	RVT-GII	2036	2	1	3	1956	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
aca156c15419806f11107d2b2246ff70728c5772773f4513c2fc813e9b17571a	Retron	2020	11	7	4	1778	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
3a8f81263bea265a980a541ae4129171f6f9b416874c3d2b9a2bccb62cdff5ff	RVT-DGRs	1999	65	23	4	1606	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
dd700f2a8c5b92ba0c9d6b20f1fc0a46ab488736b88aa2e73cc8298920cc6305	RVT-GII	1997	2	1	3	1914	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
082ffdca244a84e96704821dbcb22c26c0f5a2b633cebfca88af4d25f7746e1d	RVT-GII	1964	2	1	3	1843	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
2ff2278c41f21e4239364bae5192ee955b219d1a47f4fe27429b58bd000b2ebe	RVT-UG17	1961	7	3	3	1714	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
38259670175bfb56de8d84d7288d02559a6dc56dbb804e6bab81fea0f8665191	RVT-GII	1950	3	1	3	1867	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
0e7b30b3e48621d946d9841570213f6f1003af33debc7be54b6c5c1c83810152	Retron	1941	3	1	2	1958	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
cc3dda319ac60dbd2e956d6a36ca7f3001264570b07bba64f7d485a733f8e52d	RVT-UG8	1928	2	1	2	1851	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
b20bb6ab48be453ba9b02c566d2438e0882123c79700c610975fd8f6dae41d25	RVT-UG3	1915	9	3	3	2163	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
