metric	recurrence_class	at_least	n_pairs	n_pairs_total	pct	unit	denominator
databases per pair	one_species_multiple_genomes	1	4452	4452	100.0	exact pairs	exact pairs of that recurrence class
databases per pair	one_species_multiple_genomes	2	1917	4452	43.0593	exact pairs	exact pairs of that recurrence class
databases per pair	one_species_multiple_genomes	5	0	4452	0.0	exact pairs	exact pairs of that recurrence class
databases per pair	one_species_multiple_genomes	10	0	4452	0.0	exact pairs	exact pairs of that recurrence class
databases per pair	one_species_multiple_genomes	100	0	4452	0.0	exact pairs	exact pairs of that recurrence class
databases per pair	one_species_multiple_genomes	1000	0	4452	0.0	exact pairs	exact pairs of that recurrence class
databases per pair	one_species_multiple_genomes	10000	0	4452	0.0	exact pairs	exact pairs of that recurrence class
databases per pair	single_placement	1	12005	12005	100.0	exact pairs	exact pairs of that recurrence class
databases per pair	single_placement	2	0	12005	0.0	exact pairs	exact pairs of that recurrence class
databases per pair	single_placement	5	0	12005	0.0	exact pairs	exact pairs of that recurrence class
databases per pair	single_placement	10	0	12005	0.0	exact pairs	exact pairs of that recurrence class
databases per pair	single_placement	100	0	12005	0.0	exact pairs	exact pairs of that recurrence class
databases per pair	single_placement	1000	0	12005	0.0	exact pairs	exact pairs of that recurrence class
databases per pair	single_placement	10000	0	12005	0.0	exact pairs	exact pairs of that recurrence class
