family	rt_aa_len	cumulative_pct	n_exact_rt	unit	denominator
MULTI	1136	97.524	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	1185	98.0113	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	1254	98.4986	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	1310	98.9991	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	1490	99.4995	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	3960	100.0	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
RVT-AbiP2	42	0.0157	6377	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
RVT-AbiP2	89	0.5175	6377	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
RVT-AbiP2	121	1.0193	6377	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
RVT-AbiP2	140	1.5054	6377	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
RVT-AbiP2	159	2.0699	6377	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
RVT-AbiP2	173	2.5561	6377	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
RVT-AbiP2	185	3.0108	6377	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
RVT-AbiP2	196	3.544	6377	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
RVT-AbiP2	205	4.0144	6377	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
RVT-AbiP2	211	4.5162	6377	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
RVT-AbiP2	217	5.018	6377	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
RVT-AbiP2	222	5.5355	6377	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
RVT-AbiP2	228	6.053	6377	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
RVT-AbiP2	234	6.6803	6377	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
RVT-AbiP2	239	7.0566	6377	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
RVT-AbiP2	243	7.5114	6377	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
RVT-AbiP2	249	8.1386	6377	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
RVT-AbiP2	252	8.4993	6377	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
RVT-AbiP2	256	9.1579	6377	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
RVT-AbiP2	260	9.5343	6377	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
RVT-AbiP2	264	10.0831	6377	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
RVT-AbiP2	267	10.5222	6377	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
RVT-AbiP2	272	11.1024	6377	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
RVT-AbiP2	275	11.6199	6377	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
RVT-AbiP2	277	12.0119	6377	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
RVT-AbiP2	281	12.6235	6377	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
RVT-AbiP2	285	13.1253	6377	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
RVT-AbiP2	289	13.6271	6377	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
RVT-AbiP2	292	14.0819	6377	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
RVT-AbiP2	295	14.5993	6377	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
RVT-AbiP2	298	15.1639	6377	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
RVT-AbiP2	300	15.5089	6377	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
RVT-AbiP2	304	16.1204	6377	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
RVT-AbiP2	307	16.6222	6377	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
RVT-AbiP2	311	17.124	6377	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
RVT-AbiP2	313	17.5788	6377	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
RVT-AbiP2	315	18.0179	6377	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
RVT-AbiP2	318	18.5197	6377	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
RVT-AbiP2	321	19.0058	6377	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
RVT-AbiP2	325	19.6174	6377	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
RVT-AbiP2	328	20.1192	6377	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
RVT-AbiP2	331	20.5426	6377	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
RVT-AbiP2	335	21.1541	6377	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
RVT-AbiP2	338	21.5462	6377	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
RVT-AbiP2	342	22.1264	6377	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
RVT-AbiP2	345	22.5655	6377	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
RVT-AbiP2	347	23.0359	6377	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
RVT-AbiP2	351	23.5691	6377	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
RVT-AbiP2	354	24.1336	6377	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
RVT-AbiP2	357	24.6981	6377	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
RVT-AbiP2	360	25.1215	6377	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
RVT-AbiP2	364	25.5136	6377	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
RVT-AbiP2	369	26.1251	6377	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
RVT-AbiP2	372	26.5799	6377	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
RVT-AbiP2	376	27.2699	6377	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
RVT-AbiP2	378	27.6462	6377	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
RVT-AbiP2	381	28.1637	6377	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
RVT-AbiP2	384	28.6342	6377	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
RVT-AbiP2	387	29.1987	6377	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
RVT-AbiP2	389	29.575	6377	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
RVT-AbiP2	392	30.0925	6377	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
RVT-AbiP2	395	30.5316	6377	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
RVT-AbiP2	399	31.0177	6377	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
RVT-AbiP2	402	31.5195	6377	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
