modality	retron_type	pair_id	x	y
RT	TypeIIIA2	1123	-1.3385967	-2.8830318
RT	Ec107_like	1124	-6.583213	-13.496937
RT	TypeIIIA3	1125	-8.728485	-5.322425
RT	OutgroupA	1126	-2.7305872	-7.8221817
RT	Ec107_like	1127	-5.876043	-13.360409
RT	TypeIV	1128	4.643943	0.1654662
RT	TypeIIIA1	1129	-4.5869765	-1.150018
RT	TypeIIIA2	1130	-1.332132	-2.6574037
RT	OutgroupA	1131	-2.306672	-7.5672126
RT	TypeIIIA3	1132	-8.150766	-5.731711
RT	TypeV	1133	4.3748116	0.117680624
RT	OutgroupA	1134	-2.759647	-8.343878
RT	Ec107_like	1135	-5.1850533	1.583265
RT	Ec107_like	1136	-6.3990607	1.4301964
RT	Ec107_like	1137	-5.986433	-13.496601
RT	TypeIC1_IC2	1138	5.090834	-5.19906
RT	TypeIB1	1139	0.39787644	0.30826083
RT	Ec107_like	1140	-6.05367	3.172969
RT	TypeIV	1141	5.3914003	0.005518323
RT	TypeIX	1142	-0.6277182	-5.851213
RT	Ec107_like	1143	-5.7327228	3.071259
RT	Ec107_like	1144	-5.712269	3.0958414
RT	TypeIIA2	1145	-6.574123	1.3786514
RT	Ec107_like	1146	-5.925961	1.9439893
RT	OutgroupA	1147	-0.7813467	-4.9998293
RT	TypeIA_IIAI	1148	-1.7072856	-3.5990338
RT	TypeIIIA1	1149	-3.8290625	-0.5013242
RT	TypeIC1_IC2	1150	4.7886753	-4.9333625
RT	TypeIIIA2	1151	-0.8315316	-3.9530349
RT	TypeIC1_IC2	1152	4.818706	-5.114434
RT	TypeXIII_Mx65	1153	-1.3053173	-6.3917756
RT	TypeIC1_IC2	1154	5.128217	-4.9542475
RT	TypeIIIA2	1155	-1.3623401	-2.858165
RT	TypeIV	1156	5.6240635	-0.11393191
RT	TypeIV	1157	4.8952484	-0.59758943
RT	TypeIIA3_firmi	1158	-2.9061363	1.8882678
RT	TypeIV	1159	5.688368	1.4445207
RT	TypeIV	1160	5.187365	0.62914574
RT	TypeXIIIB_Ne144	1161	-5.620605	-4.8796654
RT	TypeIIA3_proteo	1162	-2.4539104	-3.1994839
RT	Ec107_like	1163	-5.834798	3.2733016
RT	TypeIB1	1164	-0.87364453	-0.104834
RT	TypeIIA3_firmi	1165	-3.4965134	1.8509332
RT	TypeIV	1166	5.6978064	0.47422054
RT	TypeIIA3_proteo	1167	-2.2738016	-3.3406417
RT	TypeIA_IIAI	1168	1.4485899	-5.7426624
RT	TypeIV	1169	4.480649	-0.12398208
RT	TypeIIA3_firmi	1170	-3.1616933	1.803815
RT	Ec107_like	1171	-6.1156898	-13.685818
RT	Ec107_like	1172	-6.4048753	1.3468951
RT	Ec107_like	1173	-3.9431674	1.6506196
RT	TypeIIIA3	1174	-9.230674	-4.6239424
RT	TypeIIIA1	1175	-4.636601	-0.76642096
RT	TypeIIIA1	1176	-4.480864	0.066526935
RT	TypeIC1_IC2	1177	4.9912906	-4.8445573
RT	Ec107_like	1178	-5.834688	2.0380406
RT	TypeIA_IIAI	1179	1.3282038	-5.8137794
RT	Ec107_like	1180	-6.00388	2.9687016
RT	Ec107_like	1181	-6.064504	2.8829222
RT	TypeIA_IIAI	1182	1.1967545	-5.9466333
RT	TypeIA_IIAI	1183	-0.33390844	-4.7232237
RT	TypeIA_IIAI	1184	1.3795422	-5.8464656
RT	TypeIIA3_proteo	1185	-1.1634932	-6.115276
RT	OutgroupA	1186	-1.7785255	-6.9883304
RT	TypeIA_IIAI	1187	-1.5840006	-3.5888474
RT	TypeIA_IIAI	1188	1.455461	-6.007891
RT	TypeIB1	1189	1.2900076	-1.4197001
RT	TypeIB2	1190	0.9298126	0.11982407
RT	Ec107_like	1191	-3.7718022	-0.37332374
RT	TypeXIIIB_Ne144	1192	-5.2998357	-4.805298
RT	TypeIIIA3	1193	-8.364392	-5.6266403
RT	Ec107_like	1194	-6.0412955	3.1718495
RT	Ec107_like	1195	-6.5021386	-13.632703
RT	Ec107_like	1196	-6.6892624	-13.41402
RT	TypeIV	1197	5.61531	1.3352557
RT	TypeIIA3_firmi	1198	-2.9282126	1.9182341
RT	TypeIA_IIAI	1199	1.1481609	-5.414688
ncRNA	Ec107_like	0	1.0643253	-8.787387
ncRNA	TypeIIA3_firmi	1	-2.5893867	-0.8881068
ncRNA	TypeIA_IIAI	2	1.1620194	-5.489107
ncRNA	TypeIIIA3	3	-7.223292	-4.619784
ncRNA	TypeIIA3_proteo	4	-1.7507592	-2.1506972
ncRNA	OutgroupA	5	-2.4945664	-8.255046
