rt50	type_label_modal	type_labels	loci	exact_rt	rt90	loci_per_rt90	genomes	species	genera	phyla	sources	matched_local	matched_t1	unmatched_adequate	unmatched_limited	rt90_matched_s12	rt90_unmatched_s12	rt90_unmatched_s3	cm_models	padloc_xii_loci	DENOVO_FEASIBLE_S12	DENOVO_FEASIBLE_S3
7f176ab288d584d9814a18d7e972bc1629878f7a0c12982c710da37ee4eaf97a	XII	XII|UNLABELLED	34	18	17	2.0	31	25	5	2	gem|ncbi_bacteria|gtdb_bacteria	0	0	34	0	0	0	15		0.0	False	True
aa3a2205ba753157d1f20472f3b7dc790a44e0e900e753cf93c59f9f09b66132	II-A	II-A|UNLABELLED	105	37	18	5.8	105	44	13	3	gtdb_bacteria|mgnify_human_gut|mgnify_marine|ncbi_bacteria	0	0	100	5	0	17	0		0.0	True	False
24a0eb8f6ed4483dc05664624c69c797bafa97a630ee31fb1136a20e5611ba44	UNLABELLED	XII|UNLABELLED|VII-A2	314	162	17	18.5	313	15	7	3	gem|mgnify_human_gut|gtdb_bacteria|ncbi_bacteria	0	0	305	9	0	1	13		1.0	False	True
5a49c8b8c45653c4a5fa55976d6e4de1d2fad7f4708e0a2bce42c20b4d1ee3f6	III-A	UNLABELLED|III-A	166	59	17	9.8	166	31	19	4	ncbi_bacteria|gem|mgnify_human_gut|gtdb_bacteria	0	0	151	15	0	17	0		0.0	True	False
6dac83efcc5e4e779730c4726ee9be238af91b9382afbb529bd7b6fe0c9f7ed5	UNLABELLED	UNLABELLED|VII-A2	80	41	17	4.7	80	46	4	2	gtdb_bacteria|ncbi_bacteria	0	0	80	0	0	7	0		0.0	True	False
7bea154938dcf9d795106799774b1d103188657405a200b9d5e31365f1846a00	XII	UNLABELLED|I-C|XII	37	30	21	1.8	37	29	17	2	ncbi_bacteria|mgnify_marine|mgnify_human_gut|gtdb_bacteria	0	0	28	9	0	0	13		0.0	False	True
031dc9d0b6ee8e84172ebc7bd47d75ad17cea93ff56ad4944e63e614b7be1542	III-A	III-A|UNLABELLED	151	45	16	9.4	151	54	8	3	mgnify_marine|ncbi_bacteria|mgnify_human_gut|gtdb_bacteria	0	0	150	1	0	16	0		0.0	True	False
3ac91be8b461c5dfa5beb828c2a7b6d89f95783f2852fb83339adda43cbc7234	VI	UNLABELLED|VI	40	22	18	2.2	40	26	12	2	gem|gtdb_bacteria|ncbi_bacteria	0	0	36	4	0	16	0		0.0	True	False
772c94168867e7cc461d7cf273bf7e79ccc6e3ed066e51c8ad200c08815a3aae	XII	XII	89	36	15	5.9	89	45	13	2	gem|ncbi_bacteria|gtdb_bacteria	0	0	89	0	0	0	15		89.0	False	True
485b0151bb5153594d9d95eeaee0fa462001e033303e6efbd23a22e7e5f21265	VI	VI|UNLABELLED	39	20	16	2.4	39	27	8	2	ncbi_bacteria|gtdb_bacteria	0	0	37	2	0	12	0		0.0	True	False
9b85ecd68ba6ffcf63060bbec13b780256f2e6f8ce6243f1aec634be93d11d87	XII	XII|I-C	44	18	15	2.9	44	34	15	3	gem|mgnify_marine|ncbi_bacteria|gtdb_bacteria	0	0	43	1	0	0	15		13.0	False	True
9c4b3933757801f5c246a2d3ec9f229c79c2eb5fc6813f940f27efb6f0866335	III-A	III-A	59	26	16	3.7	59	34	21	4	mgnify_soil|ncbi_bacteria|gtdb_bacteria|mgnify_human_gut	0	0	55	4	0	15	0		0.0	True	False
67761d6016eb8e68857f91665b8a839f788d0f4ebd77aa7a84c591478413fa7b	III-A	III-A	61	37	15	4.1	61	26	3	2	gtdb_bacteria|ncbi_bacteria	0	0	60	1	0	15	0		0.0	True	False
15e6f4d48fbc69c1e44143e378464c6f068cbd6e8ae2afa4fa80abf2dabcdd4b	II-A	VII-A2|UNLABELLED|I-B|II-A|IX	7708	312	16	481.8	7169	76	23	3	mgnify_human_gut|gtdb_bacteria|ncbi_bacteria|mgnify_marine|gem	0	0	7186	522	0	15	0		0.0	True	False
26aade775b3b8860b131e40aba98419092c689480bca5943944cd9007f86af47	VI	VI|UNLABELLED|VII-A2	120	34	16	7.5	120	44	4	2	gtdb_bacteria|ncbi_bacteria|mgnify_soil	0	0	116	4	0	15	0		0.0	True	False
