rt50	loci	exact_rt	rt90	loci_per_rt90	genomes	species	genera	phyla	sources	type_labels	type_label_modal	cm_models	matched_local	matched_t1	unmatched_adequate	unmatched_limited	unusable	rt90_pos_pool	rt90_matched_s12	rt90_unmatched_s12	rt90_unmatched_s3	rt90_unmatched_any	padloc_xii_loci	any_matched	POS_FEASIBLE	MIXED	DENOVO_FEASIBLE_S12	DENOVO_FEASIBLE_S3
4c8f84f239bf0fb93aef6a76190333f340cc46b0423bf538d0a909137b2e4604	893	347	87	10.3	891	89	55	8	gem|mgnify_human_gut|gtdb_bacteria|ncbi_bacteria	UNLABELLED|I-C	I-C	TypeIC1_IC2	791	31	43	28	0	63	0	0	14	14	0.0	True	True	False	False	False
1f69a766a0ac3c628f5947a7c6cd524531fdd5dad588abd06286027591785891	873	39	18	48.5	872	37	9	3	mgnify_marine|ncbi_bacteria|mgnify_human_gut|gtdb_bacteria	UNLABELLED|VII-A2|I-A	I-A	TypeIA_IIAI|TypeIA_IIAI|TypeIX	863	0	0	10	0	15	15	0	0	0	0.0	True	True	False	False	False
cfe72188dbab694cc2231858c57a0ebc916173b87b543355b15764653d969fa4	850	81	6	141.7	847	56	16	3	mgnify_human_gut|gtdb_bacteria|ncbi_bacteria	III-A	III-A	TypeIIIA3	69	0	643	138	0	2	2	5	0	5	0.0	True	False	False	False	False
7ee4c12a845b3187374c18fd6d8608ebde8ecfeb73235993cef0b952ffd5b493	839	29	8	104.9	839	25	6	2	gem|gtdb_bacteria|ncbi_bacteria	UNLABELLED|IV	IV		0	0	834	5	0	0	0	8	0	8	0.0	False	False	False	True	False
22cf851ee1142654b769d450e4d201bf8ba496c65eacb927715b968a8345d88a	834	19	9	92.7	834	12	7	2	gem|gtdb_bacteria|ncbi_bacteria	XII	XII		0	0	822	12	0	0	0	0	8	8	831.0	False	False	False	False	True
30baca29e8cc11772c68a4a7941eda65dcf02ecbc3595dcae50664844699de79	823	63	8	102.9	823	59	13	3	mgnify_human_gut|gem|gtdb_bacteria|ncbi_bacteria	I-B|UNLABELLED	I-B	TypeIB1	820	0	0	3	0	7	7	0	0	0	0.0	True	True	False	False	False
7f8739a445cb0a87f39b75080c88c5661ec09fd2add1842ede146bc6782ac8e1	811	64	14	57.9	720	57	28	4	gtdb_bacteria|mgnify_human_gut|gem|ncbi_bacteria	III-A	III-A		0	0	707	104	0	0	0	12	0	12	0.0	False	False	False	True	False
1b0c2c2acdbbc761608a9b0255375e88e979d2305e48dbf0eeac41a250a97618	800	155	39	20.5	800	42	26	6	mgnify_soil|gtdb_archaea|ncbi_archaea|ncbi_bacteria|gtdb_bacteria|mgnify_human_gut|gem	UNLABELLED|VII-A2|I-C|I-A	UNLABELLED	TypeIC1_IC2	755	0	2	43	0	5	3	0	0	2	0.0	True	False	False	False	False
91cf01fd5aba3702f4c76c25d082496dfef21d0604a1d52e56bb7b13b01b8d09	797	620	76	10.5	797	8	3	3	ncbi_bacteria|gtdb_bacteria|mgnify_human_gut	UNLABELLED|I-C	I-C	TypeIC1_IC2	154	8	1	634	0	7	0	0	1	1	0.0	True	True	False	False	False
c77fb054c7ad158113c9fb0d0c71777725240873593917c0b7cbada3d7310af0	781	156	15	52.1	781	16	7	3	gtdb_bacteria|mgnify_human_gut|ncbi_bacteria	V|I-B|UNLABELLED	I-B	TypeIB2	744	2	1	34	0	9	9	1	0	1	0.0	True	True	False	False	False
