population	path	schema_documented	n_records_with_path	n_parsed_records_in_population	n_occurrences	n_null_occurrences	observed_types
POP-RT-MULTI	ncrnas[].strand	True	6	9012	6	0	str:6
POP-NCRNA	ncrnas[].strand	True	298482	298482	298608	0	str:298608
POP-OTHER	ncrnas[].strand	True	0	0	0	0	
POP-RT-FAM	ncrnas[].structure_annotation	True	4740	3050688	4743	0	dict:4743
POP-RT-MULTI	ncrnas[].structure_annotation	True	4	9012	4	0	dict:4
POP-NCRNA	ncrnas[].structure_annotation	True	80277	298482	80281	71867	dict:8414|null:71867
POP-OTHER	ncrnas[].structure_annotation	True	0	0	0	0	
POP-RT-FAM	ncrnas[].structure_annotation.dot_bracket	True	4740	3050688	4743	0	str:4743
POP-RT-MULTI	ncrnas[].structure_annotation.dot_bracket	True	4	9012	4	0	str:4
POP-NCRNA	ncrnas[].structure_annotation.dot_bracket	True	8410	298482	8414	0	str:8414
POP-OTHER	ncrnas[].structure_annotation.dot_bracket	True	0	0	0	0	
POP-RT-FAM	ncrnas[].structure_annotation.free_energy	True	4740	3050688	4743	0	str:4743
POP-RT-MULTI	ncrnas[].structure_annotation.free_energy	True	4	9012	4	0	str:4
POP-NCRNA	ncrnas[].structure_annotation.free_energy	True	8410	298482	8414	0	str:8414
POP-OTHER	ncrnas[].structure_annotation.free_energy	True	0	0	0	0	
POP-RT-FAM	ncrnas[].structure_annotation.structure_annotation	True	4740	3050688	4743	0	str:4743
POP-RT-MULTI	ncrnas[].structure_annotation.structure_annotation	True	4	9012	4	0	str:4
POP-NCRNA	ncrnas[].structure_annotation.structure_annotation	True	8410	298482	8414	0	str:8414
POP-OTHER	ncrnas[].structure_annotation.structure_annotation	True	0	0	0	0	
POP-RT-FAM	ncrnas[].structure_annotation_str	True	4740	3050688	4743	0	str:4743
POP-RT-MULTI	ncrnas[].structure_annotation_str	True	4	9012	4	0	str:4
POP-NCRNA	ncrnas[].structure_annotation_str	True	8410	298482	8414	0	str:8414
POP-OTHER	ncrnas[].structure_annotation_str	True	0	0	0	0	
POP-RT-FAM	ncrnas[].upstream_gene_id	True	346400	3050688	346716	5526	null:5526|str:341190
POP-RT-MULTI	ncrnas[].upstream_gene_id	True	6	9012	6	0	str:6
POP-NCRNA	ncrnas[].upstream_gene_id	True	298482	298482	298608	15566	null:15566|str:283042
POP-OTHER	ncrnas[].upstream_gene_id	True	0	0	0	0	
POP-RT-FAM	rt_gene	True	3050688	3050688	3050688	0	dict:3050688
POP-RT-MULTI	rt_gene	True	9012	9012	9012	0	dict:9012
POP-NCRNA	rt_gene	True	298482	298482	298482	298482	null:298482
POP-OTHER	rt_gene	True	0	0	0	0	
POP-RT-FAM	rt_gene.end	True	3050688	3050688	3050688	0	int:3050688
POP-RT-MULTI	rt_gene.end	True	9012	9012	9012	0	int:9012
POP-NCRNA	rt_gene.end	True	0	298482	0	0	
POP-OTHER	rt_gene.end	True	0	0	0	0	
POP-RT-FAM	rt_gene.length	True	3050688	3050688	3050688	0	int:3050688
POP-RT-MULTI	rt_gene.length	True	9012	9012	9012	0	int:9012
POP-NCRNA	rt_gene.length	True	0	298482	0	0	
POP-OTHER	rt_gene.length	True	0	0	0	0	
POP-RT-FAM	rt_gene.sequence	True	3050688	3050688	3050688	0	str:3050688
POP-RT-MULTI	rt_gene.sequence	True	9012	9012	9012	0	str:9012
POP-NCRNA	rt_gene.sequence	True	0	298482	0	0	
POP-OTHER	rt_gene.sequence	True	0	0	0	0	
POP-RT-FAM	rt_gene.start	True	3050688	3050688	3050688	0	int:3050688
POP-RT-MULTI	rt_gene.start	True	9012	9012	9012	0	int:9012
POP-NCRNA	rt_gene.start	True	0	298482	0	0	
POP-OTHER	rt_gene.start	True	0	0	0	0	
POP-RT-FAM	rt_gene.strand	True	3050688	3050688	3050688	0	str:3050688
POP-RT-MULTI	rt_gene.strand	True	9012	9012	9012	0	str:9012
POP-NCRNA	rt_gene.strand	True	0	298482	0	0	
POP-OTHER	rt_gene.strand	True	0	0	0	0	
POP-RT-FAM	rt_system_id	True	3050688	3050688	3050688	0	str:3050688
POP-RT-MULTI	rt_system_id	True	9012	9012	9012	0	str:9012
POP-NCRNA	rt_system_id	True	298482	298482	298482	0	str:298482
POP-OTHER	rt_system_id	True	0	0	0	0	
POP-RT-FAM	source_database	True	3050688	3050688	3050688	0	str:3050688
POP-RT-MULTI	source_database	True	9012	9012	9012	0	str:9012
POP-NCRNA	source_database	True	298482	298482	298482	0	str:298482
POP-OTHER	source_database	True	0	0	0	0	
POP-RT-FAM	system_subtypes	True	3050688	3050688	3050688	0	list:3050688
POP-RT-MULTI	system_subtypes	True	9012	9012	9012	0	list:9012
POP-NCRNA	system_subtypes	True	298482	298482	298482	0	list:298482
POP-OTHER	system_subtypes	True	0	0	0	0	
POP-RT-FAM	system_types	True	3050688	3050688	3050688	0	list:3050688
POP-RT-MULTI	system_types	True	9012	9012	9012	0	list:9012
POP-NCRNA	system_types	True	298482	298482	298482	0	list:298482
POP-OTHER	system_types	True	0	0	0	0	
POP-RT-FAM	taxonomy	True	3050688	3050688	3050688	0	dict:3050688
POP-RT-MULTI	taxonomy	True	9012	9012	9012	0	dict:9012
POP-NCRNA	taxonomy	True	298482	298482	298482	0	dict:298482
POP-OTHER	taxonomy	True	0	0	0	0	
POP-RT-FAM	taxonomy.class	True	3050688	3050688	3050688	2286053	null:2286053|str:764635
POP-RT-MULTI	taxonomy.class	True	9012	9012	9012	3949	null:3949|str:5063
POP-NCRNA	taxonomy.class	True	298482	298482	298482	186420	null:186420|str:112062
POP-OTHER	taxonomy.class	True	0	0	0	0	
POP-RT-FAM	taxonomy.domain	True	3050688	3050688	3050688	22266	null:22266|str:3028422
POP-RT-MULTI	taxonomy.domain	True	9012	9012	9012	10	null:10|str:9002
POP-NCRNA	taxonomy.domain	True	298482	298482	298482	4606	null:4606|str:293876
POP-OTHER	taxonomy.domain	True	0	0	0	0	
POP-RT-FAM	taxonomy.environment	True	3050688	3050688	3050688	0	str:3050688
POP-RT-MULTI	taxonomy.environment	True	9012	9012	9012	0	str:9012
POP-NCRNA	taxonomy.environment	True	298482	298482	298482	0	str:298482
POP-OTHER	taxonomy.environment	True	0	0	0	0	
POP-RT-FAM	taxonomy.family	True	3050688	3050688	3050688	2286118	null:2286118|str:764570
POP-RT-MULTI	taxonomy.family	True	9012	9012	9012	3953	null:3953|str:5059
POP-NCRNA	taxonomy.family	True	298482	298482	298482	186456	null:186456|str:112026
POP-OTHER	taxonomy.family	True	0	0	0	0	
POP-RT-FAM	taxonomy.full_lineage	True	3050688	3050688	3050688	22266	null:22266|str:3028422
POP-RT-MULTI	taxonomy.full_lineage	True	9012	9012	9012	10	null:10|str:9002
POP-NCRNA	taxonomy.full_lineage	True	298482	298482	298482	4606	null:4606|str:293876
POP-OTHER	taxonomy.full_lineage	True	0	0	0	0	
POP-RT-FAM	taxonomy.genus	True	3050688	3050688	3050688	29080	null:29080|str:3021608
POP-RT-MULTI	taxonomy.genus	True	9012	9012	9012	324	null:324|str:8688
POP-NCRNA	taxonomy.genus	True	298482	298482	298482	5978	null:5978|str:292504
POP-OTHER	taxonomy.genus	True	0	0	0	0	
POP-RT-FAM	taxonomy.order	True	3050688	3050688	3050688	2286055	null:2286055|str:764633
POP-RT-MULTI	taxonomy.order	True	9012	9012	9012	3949	null:3949|str:5063
POP-NCRNA	taxonomy.order	True	298482	298482	298482	186431	null:186431|str:112051
POP-OTHER	taxonomy.order	True	0	0	0	0	
POP-RT-FAM	taxonomy.phylum	True	3050688	3050688	3050688	2286053	null:2286053|str:764635
POP-RT-MULTI	taxonomy.phylum	True	9012	9012	9012	3949	null:3949|str:5063
POP-NCRNA	taxonomy.phylum	True	298482	298482	298482	186420	null:186420|str:112062
POP-OTHER	taxonomy.phylum	True	0	0	0	0	
POP-RT-FAM	taxonomy.species	True	3050688	3050688	3050688	40800	null:40800|str:3009888
POP-RT-MULTI	taxonomy.species	True	9012	9012	9012	1418	null:1418|str:7594
POP-NCRNA	taxonomy.species	True	298482	298482	298482	8438	null:8438|str:290044
POP-OTHER	taxonomy.species	True	0	0	0	0	
POP-RT-FAM	taxonomy.taxonomy_system	True	3050688	3050688	3050688	0	str:3050688
POP-RT-MULTI	taxonomy.taxonomy_system	True	9012	9012	9012	0	str:9012
POP-NCRNA	taxonomy.taxonomy_system	True	298482	298482	298482	0	str:298482
POP-OTHER	taxonomy.taxonomy_system	True	0	0	0	0	
