component_id	n_pairs	n_tok	n_distinct_rt	n_distinct_ncrna	n_retron_types	n_rt_homolog_groups	cv_fold	dominant_retron_type	any_T4	any_T3	in_sensitivity_population	mean_nearest_train_rt_cosine	relatedness_stratum	nll_per_nt_U	nll_per_nt_T	nll_per_nt_G	nll_per_nt_R	nll_per_nt_P	delta_R_minus_T	delta_R_minus_G	delta_R_minus_P	delta_P_minus_T	delta_logP_C1	n_pairs_C1	delta_logP_C2	n_pairs_C2	delta_logP_C3	n_pairs_C3	delta_logP_C4	n_pairs_C4
CMP00043	52	9495	51	19	1	5	4	TypeIB2	1	1	0	0.993538	Q4	1.401924	1.487475	1.415741	1.434909	1.944221	-0.052566	0.019168	-0.509312	0.456746	0.011876	52	0.01239	48	0.000617	52	0.002971	48
CMP00044	50	7388	46	24	1	3	2	TypeIX	1	1	1	0.988271	Q2	1.416191	1.398745	1.405298	1.388488	1.411883	-0.010257	-0.01681	-0.023395	0.013138	0.000152	50	0.000459	45	-0.001021	50	0.000339	46
CMP00045	49	13758	49	44	1	9	1	TypeIIIA3	1	1	0	0.989195	Q3	1.432178	1.40402	1.401152	1.399444	1.409089	-0.004576	-0.001708	-0.009645	0.005069	0.001157	49	0.002796	47	-0.000557	49	0.001223	43
CMP00046	48	7758	33	42	1	2	3	TypeIB1	0	1	0	0.984968	Q1	1.430786	1.421074	1.410024	1.412707	1.379419	-0.008367	0.002683	0.033288	-0.041655	0.00492	48	0.005471	45	-0.001944	48	-0.000973	48
CMP00047	42	5918	40	37	1	3	4	TypeIB1	1	1	0	0.992555	Q4	1.428761	1.34758	1.365116	1.36657	1.372666	0.01899	0.001454	-0.006096	0.025086	-0.018836	42	-0.017729	39	-0.016257	42	-0.004161	41
CMP00048	42	5347	42	41	1	4	2	OutgroupA	1	1	0	0.983619	Q2	1.405578	1.332477	1.276451	1.27687	1.303798	-0.055607	0.000419	-0.026928	-0.028679	0.017301	42	0.012619	39	0.001313	42	0.003732	40
CMP00049	40	6497	40	33	1	2	1	TypeIA_IIAI	0	0	0	0.987289	Q2	1.428864	1.401312	1.37272	1.370145	1.402702	-0.031167	-0.002575	-0.032557	0.00139	0.008144	40	0.004682	39	0.0008	40	0.002815	39
CMP00050	40	5550	39	27	2	2	3	TypeIIIA1	0	1	0	0.990515	Q4	1.422579	1.401849	1.397824	1.38955	1.38917	-0.012299	-0.008274	0.00038	-0.012679	0.001204	40	-0.000313	39	0.001887	40	0.004164	39
CMP00051	39	4966	39	32	1	2	4	OutgroupA	1	1	0	0.986692	Q2	1.325123	1.280049	1.215947	1.20574	1.213558	-0.074309	-0.010207	-0.007818	-0.066491	0.033297	39	0.024328	38	0.004554	39	0.005382	38
CMP00052	39	3370	37	36	1	4	2	TypeIIA2	1	1	0	0.98618	Q2	1.457113	1.476738	1.485236	1.510992	1.577702	0.034254	0.025756	-0.06671	0.100964	0.005998	39	0.005813	35	0.001595	39	0.004367	36
CMP00053	39	10601	38	22	2	5	1	TypeIIIA3	1	1	0	0.992338	Q4	1.421268	1.394372	1.398212	1.393744	1.404876	-0.000628	-0.004468	-0.011132	0.010504	-0.00061	39	0.000386	38	0.000108	39	0.001552	38
CMP00054	38	6192	34	21	1	5	3	TypeIB2_firmi	1	1	1	0.99087	Q4	1.374096	1.370732	1.353003	1.366528	1.3684	-0.004204	0.013525	-0.001872	-0.002332	0.001105	38	0.002639	30	-0.00362	38	0.001396	35
CMP00055	37	9570	37	35	1	5	4	TypeIIIA3	1	1	0	0.991226	Q3	1.41678	1.37151	1.386351	1.382219	1.344575	0.010709	-0.004132	0.037644	-0.026935	0.023421	37	0.007537	37	0.000411	37	0.002052	33
CMP00056	36	5173	36	34	1	1	2	TypeIB1	0	0	0	0.989551	Q3	1.441199	1.34112	1.413324	1.431565	1.394965	0.090445	0.018241	0.0366	0.053845	-0.008059	36	-0.006625	36	0.001166	36	0.001119	36
CMP00057	35	4659	35	18	1	5	1	TypeIC1_IC2	1	1	0	0.993077	Q4	1.327377	1.295668	1.226702	1.187835	1.280736	-0.107833	-0.038867	-0.092901	-0.014932	0.057537	35	0.052455	31	6.9e-05	35	0.005012	31
CMP00058	33	5563	33	12	1	4	3	Ec107_like	1	1	0	0.990088	Q4	1.36966	1.338528	1.350082	1.320518	1.360473	-0.01801	-0.029564	-0.039955	0.021945	0.066005	33	0.065134	30	0.00053	33	0.002008	30
CMP00059	33	4765	30	10	1	6	4	TypeIC1_IC2	0	0	0	0.983448	Q1	1.381564	1.387761	1.361515	1.353727	1.420658	-0.034034	-0.007788	-0.066931	0.032897	0.039575	33	0.019799	16	0.001803	33	0.000673	30
