set_id	cohort	stratum	rt50	n_members	type_label	n_type_labels	n_phyla	win_from	win_to	note
CTRL_INTRAGENIC__POS_III-A_2	CTRL_INTRAGENIC	S1-S3	52c6d134f8abe7a007aa341b579fdb52d2b5fa6d940b2911e12178623a5156a6	9	III-A	1	2	300	599	POS_III-A_2
CTRL_DISTAL__POS_III-A_3	CTRL_DISTAL	S1-S3	e923f79b3ab4fe4a02bffd194035f63f8f6a4165efd4126050f5e721c22eaacb	19	III-A	1	2	-1500	-1201	POS_III-A_3
CTRL_INTRAGENIC__POS_III-A_3	CTRL_INTRAGENIC	S1-S3	e923f79b3ab4fe4a02bffd194035f63f8f6a4165efd4126050f5e721c22eaacb	19	III-A	1	2	300	599	POS_III-A_3
CTRL_DISTAL__POS_II-A_1	CTRL_DISTAL	S1-S3	6f53e98ece3c9c1ddb81388126a1c8104ae0c7694ef6c073195c57386e122126	15	II-A	1	2	-1500	-1201	POS_II-A_1
CTRL_INTRAGENIC__POS_II-A_1	CTRL_INTRAGENIC	S1-S3	6f53e98ece3c9c1ddb81388126a1c8104ae0c7694ef6c073195c57386e122126	15	II-A	1	2	300	599	POS_II-A_1
CTRL_DISTAL__POS_II-A_2	CTRL_DISTAL	S1-S3	8396be309faadcc18ee26009480c222569327ba4469b6de3fdef531f995f97ca	7	II-A	1	2	-1500	-1201	POS_II-A_2
CTRL_INTRAGENIC__POS_II-A_2	CTRL_INTRAGENIC	S1-S3	8396be309faadcc18ee26009480c222569327ba4469b6de3fdef531f995f97ca	7	II-A	1	2	300	599	POS_II-A_2
CTRL_DISTAL__POS_II-A_3	CTRL_DISTAL	S1-S3	3c6eab406ee5458ad6cd7375beac7ee010badaf0e79ae3faf50a42e68a1d6951	5	II-A	1	2	-1500	-1201	POS_II-A_3
CTRL_INTRAGENIC__POS_II-A_3	CTRL_INTRAGENIC	S1-S3	3c6eab406ee5458ad6cd7375beac7ee010badaf0e79ae3faf50a42e68a1d6951	5	II-A	1	2	300	599	POS_II-A_3
CTRL_DISTAL__POS_IV_1	CTRL_DISTAL	S1-S3	c3c41dfe14f1d01bc33d06d7c47f3291414d9418d5d7cd5f52b59128a2cb987b	36	IV	1	2	-1500	-1201	POS_IV_1
CTRL_INTRAGENIC__POS_IV_1	CTRL_INTRAGENIC	S1-S3	c3c41dfe14f1d01bc33d06d7c47f3291414d9418d5d7cd5f52b59128a2cb987b	40	IV	1	2	300	599	POS_IV_1
CTRL_DISTAL__POS_IV_2	CTRL_DISTAL	S1-S3	318e3e73c910f004012d1d2643bd3a1daf4fc765c8ba81f007bc418192263731	7	IV	1	2	-1500	-1201	POS_IV_2
CTRL_INTRAGENIC__POS_IV_2	CTRL_INTRAGENIC	S1-S3	318e3e73c910f004012d1d2643bd3a1daf4fc765c8ba81f007bc418192263731	7	IV	1	2	300	599	POS_IV_2
CTRL_INTRAGENIC__POS_IV_3	CTRL_INTRAGENIC	S1-S3	3d194129f2141e870fdf16fee88134a0c77597f6d90ac1c3919102b4529f689f	5	IV	1	1	300	599	POS_IV_3
CTRL_DISTAL__POS_XIII_1	CTRL_DISTAL	S1-S3	19819d72c63b67a5c6d78f5cb76ec7da23ac5c98568e58ad19d488a660e4ff41	34	XIII	1	4	-1500	-1201	POS_XIII_1
CTRL_INTRAGENIC__POS_XIII_1	CTRL_INTRAGENIC	S1-S3	19819d72c63b67a5c6d78f5cb76ec7da23ac5c98568e58ad19d488a660e4ff41	36	XIII	1	5	300	599	POS_XIII_1
