cohort	set_id	arm	expected_cov	observed_cov	avgid	n
CTRL_INTRAGENIC	CTRL_INTRAGENIC__POS_I-B_3	B_STRUCT_CACOFOLD	11.7	1	32.3	18
CTRL_INTRAGENIC	CTRL_INTRAGENIC__POS_I-C_1	A_SPIRE	1.8	1	48.67	7
CTRL_INTRAGENIC	CTRL_INTRAGENIC__POS_I-C_1	B_SEQ_CACOFOLD	2.4	0	62.16	7
CTRL_INTRAGENIC	CTRL_INTRAGENIC__POS_I-C_1	B_STRUCT_CACOFOLD	1.0	1	48.67	7
CTRL_INTRAGENIC	CTRL_INTRAGENIC__POS_I-C_2	A_SPIRE	2.9	0	63.36	9
CTRL_INTRAGENIC	CTRL_INTRAGENIC__POS_I-C_2	B_SEQ_CACOFOLD	5.9	0	66.51	9
CTRL_INTRAGENIC	CTRL_INTRAGENIC__POS_I-C_2	B_STRUCT_CACOFOLD	5.3	0	63.36	9
CTRL_INTRAGENIC	CTRL_INTRAGENIC__POS_I-C_3	A_SPIRE	0.8	0	63.07	5
CTRL_INTRAGENIC	CTRL_INTRAGENIC__POS_I-C_3	B_SEQ_CACOFOLD	0.6	2	66.2	5
CTRL_INTRAGENIC	CTRL_INTRAGENIC__POS_I-C_3	B_STRUCT_CACOFOLD	0.9	0	63.07	5
CTRL_INTRAGENIC	CTRL_INTRAGENIC__POS_II-A_1	A_SPIRE	6.6	0	51.23	15
CTRL_INTRAGENIC	CTRL_INTRAGENIC__POS_II-A_1	B_SEQ_CACOFOLD	13.0	0	67.88	15
CTRL_INTRAGENIC	CTRL_INTRAGENIC__POS_II-A_1	B_STRUCT_CACOFOLD	8.0	0	51.23	15
CTRL_INTRAGENIC	CTRL_INTRAGENIC__POS_II-A_2	A_SPIRE	1.8	0	64.31	7
CTRL_INTRAGENIC	CTRL_INTRAGENIC__POS_II-A_2	B_SEQ_CACOFOLD	0.5	0	73.67	7
CTRL_INTRAGENIC	CTRL_INTRAGENIC__POS_II-A_2	B_STRUCT_CACOFOLD	0.8	0	64.31	7
CTRL_INTRAGENIC	CTRL_INTRAGENIC__POS_II-A_3	A_SPIRE	0.6	0	61.59	5
CTRL_INTRAGENIC	CTRL_INTRAGENIC__POS_II-A_3	B_SEQ_CACOFOLD	1.1	0	64.86	5
CTRL_INTRAGENIC	CTRL_INTRAGENIC__POS_II-A_3	B_STRUCT_CACOFOLD	0.4	0	61.59	5
CTRL_INTRAGENIC	CTRL_INTRAGENIC__POS_III-A_1	A_SPIRE	2.5	0	55.64	12
CTRL_INTRAGENIC	CTRL_INTRAGENIC__POS_III-A_1	B_SEQ_CACOFOLD	6.7	0	67.22	12
CTRL_INTRAGENIC	CTRL_INTRAGENIC__POS_III-A_1	B_STRUCT_CACOFOLD	0.8	1	55.64	12
CTRL_INTRAGENIC	CTRL_INTRAGENIC__POS_III-A_2	A_SPIRE	3.6	0	51.76	9
CTRL_INTRAGENIC	CTRL_INTRAGENIC__POS_III-A_2	B_SEQ_CACOFOLD	9.1	0	57.62	9
CTRL_INTRAGENIC	CTRL_INTRAGENIC__POS_III-A_2	B_STRUCT_CACOFOLD	5.6	0	51.76	9
CTRL_INTRAGENIC	CTRL_INTRAGENIC__POS_III-A_3	A_SPIRE	7.9	0	66.65	19
CTRL_INTRAGENIC	CTRL_INTRAGENIC__POS_III-A_3	B_SEQ_CACOFOLD	16.0	0	69.79	19
CTRL_INTRAGENIC	CTRL_INTRAGENIC__POS_III-A_3	B_STRUCT_CACOFOLD	15.3	0	66.65	19
CTRL_INTRAGENIC	CTRL_INTRAGENIC__POS_IV_1	A_SPIRE	4.0	3	20.22	40
CTRL_INTRAGENIC	CTRL_INTRAGENIC__POS_IV_1	B_SEQ_CACOFOLD	26.8	1	54.3	40
CTRL_INTRAGENIC	CTRL_INTRAGENIC__POS_IV_1	B_STRUCT_CACOFOLD	36.8	12	20.22	40
CTRL_INTRAGENIC	CTRL_INTRAGENIC__POS_IV_2	A_SPIRE	0.6	0	53.15	7
CTRL_INTRAGENIC	CTRL_INTRAGENIC__POS_IV_2	B_SEQ_CACOFOLD	2.1	0	66.02	7
CTRL_INTRAGENIC	CTRL_INTRAGENIC__POS_IV_2	B_STRUCT_CACOFOLD	1.5	0	53.15	7
CTRL_INTRAGENIC	CTRL_INTRAGENIC__POS_IV_3	A_SPIRE	1.9	0	45.66	5
CTRL_INTRAGENIC	CTRL_INTRAGENIC__POS_IV_3	B_SEQ_CACOFOLD	1.8	0	59.35	5
CTRL_INTRAGENIC	CTRL_INTRAGENIC__POS_IV_3	B_STRUCT_CACOFOLD	1.2	0	45.66	5
CTRL_INTRAGENIC	CTRL_INTRAGENIC__POS_IX_1	A_SPIRE	1.1	0	38.49	6
CTRL_INTRAGENIC	CTRL_INTRAGENIC__POS_IX_1	B_SEQ_CACOFOLD	1.6	1	45.89	6
CTRL_INTRAGENIC	CTRL_INTRAGENIC__POS_IX_1	B_STRUCT_CACOFOLD	1.7	0	38.49	6
CTRL_INTRAGENIC	CTRL_INTRAGENIC__POS_IX_2	A_SPIRE	3.3	2	34.45	6
CTRL_INTRAGENIC	CTRL_INTRAGENIC__POS_IX_2	B_SEQ_CACOFOLD	1.6	0	41.75	6
CTRL_INTRAGENIC	CTRL_INTRAGENIC__POS_IX_2	B_STRUCT_CACOFOLD	3.4	4	34.45	6
CTRL_INTRAGENIC	CTRL_INTRAGENIC__POS_IX_3	A_SPIRE	1.2	0	35.38	5
CTRL_INTRAGENIC	CTRL_INTRAGENIC__POS_IX_3	B_SEQ_CACOFOLD	1.3	2	55.87	5
CTRL_INTRAGENIC	CTRL_INTRAGENIC__POS_IX_3	B_STRUCT_CACOFOLD	1.3	0	35.38	5
CTRL_INTRAGENIC	CTRL_INTRAGENIC__POS_V_1	A_SPIRE	5.5	0	52.91	32
CTRL_INTRAGENIC	CTRL_INTRAGENIC__POS_V_1	B_SEQ_CACOFOLD	27.8	0	63.06	32
CTRL_INTRAGENIC	CTRL_INTRAGENIC__POS_V_1	B_STRUCT_CACOFOLD	25.5	0	52.91	32
CTRL_INTRAGENIC	CTRL_INTRAGENIC__POS_V_2	A_SPIRE	6.3	0	40.28	19
CTRL_INTRAGENIC	CTRL_INTRAGENIC__POS_V_2	B_SEQ_CACOFOLD	27.3	0	60.04	19
CTRL_INTRAGENIC	CTRL_INTRAGENIC__POS_V_2	B_STRUCT_CACOFOLD	21.6	0	40.28	19
CTRL_INTRAGENIC	CTRL_INTRAGENIC__POS_V_3	A_SPIRE	2.2	1	60.92	19
CTRL_INTRAGENIC	CTRL_INTRAGENIC__POS_V_3	B_SEQ_CACOFOLD	12.3	0	68.43	19
CTRL_INTRAGENIC	CTRL_INTRAGENIC__POS_V_3	B_STRUCT_CACOFOLD	8.6	1	60.92	19
CTRL_INTRAGENIC	CTRL_INTRAGENIC__POS_XIII_1	A_SPIRE	11.8	3	37.22	36
CTRL_INTRAGENIC	CTRL_INTRAGENIC__POS_XIII_1	B_SEQ_CACOFOLD	57.3	2	55.23	36
CTRL_INTRAGENIC	CTRL_INTRAGENIC__POS_XIII_1	B_STRUCT_CACOFOLD	43.5	3	37.22	36
CTRL_INTRAGENIC	CTRL_INTRAGENIC__POS_XIII_2	A_SPIRE	5.7	5	26.49	40
CTRL_INTRAGENIC	CTRL_INTRAGENIC__POS_XIII_2	B_SEQ_CACOFOLD	54.1	0	35.2	40
CTRL_INTRAGENIC	CTRL_INTRAGENIC__POS_XIII_2	B_STRUCT_CACOFOLD	53.5	8	26.49	40
CTRL_INTRAGENIC	CTRL_INTRAGENIC__POS_XIII_3	A_SPIRE	2.2	0	36.76	6
CTRL_INTRAGENIC	CTRL_INTRAGENIC__POS_XIII_3	B_SEQ_CACOFOLD	4.3	0	42.65	6
CTRL_INTRAGENIC	CTRL_INTRAGENIC__POS_XIII_3	B_STRUCT_CACOFOLD	2.2	1	36.76	6
CTRL_NONRETRON	CTRL_NONRETRON_RVT-AbiK_1	A_SPIRE	4.4	3	33.8	6
CTRL_NONRETRON	CTRL_NONRETRON_RVT-AbiK_1	B_SEQ_CACOFOLD	3.8	0	37.7	6
CTRL_NONRETRON	CTRL_NONRETRON_RVT-AbiK_1	B_STRUCT_CACOFOLD	2.2	3	33.8	6
CTRL_NONRETRON	CTRL_NONRETRON_RVT-AbiK_2	A_SPIRE	0.7	0	32.75	6
CTRL_NONRETRON	CTRL_NONRETRON_RVT-AbiK_2	B_SEQ_CACOFOLD	2.1	0	40.79	6
CTRL_NONRETRON	CTRL_NONRETRON_RVT-AbiK_2	B_STRUCT_CACOFOLD	0.7	0	32.75	6
CTRL_NONRETRON	CTRL_NONRETRON_RVT-AbiP2_1	A_SPIRE	1.8	2	34.47	5
CTRL_NONRETRON	CTRL_NONRETRON_RVT-AbiP2_1	B_SEQ_CACOFOLD	1.7	0	41.97	5
CTRL_NONRETRON	CTRL_NONRETRON_RVT-AbiP2_1	B_STRUCT_CACOFOLD	1.2	3	34.47	5
CTRL_NONRETRON	CTRL_NONRETRON_RVT-AbiP2_2	A_SPIRE	3.7	5	30.73	5
CTRL_NONRETRON	CTRL_NONRETRON_RVT-AbiP2_2	B_SEQ_CACOFOLD	1.6	0	32.91	5
CTRL_NONRETRON	CTRL_NONRETRON_RVT-AbiP2_2	B_STRUCT_CACOFOLD	4.4	8	30.73	5
PIL	PIL_S12_HOMOLOG_HAS_CM_1	A_SPIRE	0.9	0	77.32	11
PIL	PIL_S12_HOMOLOG_HAS_CM_1	B_SEQ_CACOFOLD	0.6	2	77.85	11
PIL	PIL_S12_HOMOLOG_HAS_CM_1	B_STRUCT_CACOFOLD	1.3	0	77.32	11
PIL	PIL_S12_HOMOLOG_HAS_CM_2	A_SPIRE	2.3	0	55.1	9
PIL	PIL_S12_HOMOLOG_HAS_CM_2	B_SEQ_CACOFOLD	4.1	1	56.7	9
PIL	PIL_S12_HOMOLOG_HAS_CM_2	B_STRUCT_CACOFOLD	3.2	0	55.1	9
PIL	PIL_S12_HOMOLOG_HAS_CM_3	A_SPIRE	3.9	0	48.28	8
PIL	PIL_S12_HOMOLOG_HAS_CM_3	B_SEQ_CACOFOLD	4.3	0	54.99	8
PIL	PIL_S12_HOMOLOG_HAS_CM_3	B_STRUCT_CACOFOLD	4.3	0	48.28	8
PIL	PIL_S12_HOMOLOG_HAS_CM_4	A_SPIRE	8.8	2	34.03	12
PIL	PIL_S12_HOMOLOG_HAS_CM_4	B_SEQ_CACOFOLD	13.6	0	41.5	12
PIL	PIL_S12_HOMOLOG_HAS_CM_4	B_STRUCT_CACOFOLD	12.3	3	34.03	12
PIL	PIL_S12_HOMOLOG_HAS_CM_5	A_SPIRE	9.2	6	28.93	13
PIL	PIL_S12_HOMOLOG_HAS_CM_5	B_SEQ_CACOFOLD	14.7	0	41.77	13
PIL	PIL_S12_HOMOLOG_HAS_CM_5	B_STRUCT_CACOFOLD	16.2	6	28.93	13
PIL	PIL_S12_ORPHAN_1	A_SPIRE	1.0	1	29.31	5
PIL	PIL_S12_ORPHAN_1	B_SEQ_CACOFOLD	3.2	0	38.17	5
PIL	PIL_S12_ORPHAN_1	B_STRUCT_CACOFOLD	0.9	1	29.31	5
PIL	PIL_S12_ORPHAN_2	A_SPIRE	2.3	0	56.18	9
PIL	PIL_S12_ORPHAN_2	B_SEQ_CACOFOLD	6.2	0	63.52	9
PIL	PIL_S12_ORPHAN_2	B_STRUCT_CACOFOLD	4.2	0	56.18	9
PIL	PIL_S12_ORPHAN_3	A_SPIRE	12.4	0	54.95	22
PIL	PIL_S12_ORPHAN_3	B_SEQ_CACOFOLD	20.5	0	64.46	22
PIL	PIL_S12_ORPHAN_3	B_STRUCT_CACOFOLD	21.2	1	54.95	22
PIL	PIL_S12_ORPHAN_4	A_SPIRE	0.8	0	67.85	8
PIL	PIL_S12_ORPHAN_4	B_SEQ_CACOFOLD	1.6	0	69.6	8
PIL	PIL_S12_ORPHAN_4	B_STRUCT_CACOFOLD	0.7	0	67.85	8
PIL	PIL_S12_ORPHAN_5	A_SPIRE	5.6	8	21.47	20
PIL	PIL_S12_ORPHAN_5	B_SEQ_CACOFOLD	38.6	0	36.48	20
PIL	PIL_S12_ORPHAN_5	B_STRUCT_CACOFOLD	15.3	8	21.47	20
PIL	PIL_S3_FUSED_1	A_SPIRE	16.0	6	31.28	33
PIL	PIL_S3_FUSED_1	B_SEQ_CACOFOLD	74.6	0	38.76	33
PIL	PIL_S3_FUSED_1	B_STRUCT_CACOFOLD	56.0	6	31.28	33
PIL	PIL_S3_FUSED_2	A_SPIRE	3.6	1	45.75	10
PIL	PIL_S3_FUSED_2	B_SEQ_CACOFOLD	7.1	0	48.31	10
PIL	PIL_S3_FUSED_2	B_STRUCT_CACOFOLD	2.7	1	45.75	10
PIL	PIL_S3_FUSED_3	A_SPIRE	1.3	2	54.91	7
PIL	PIL_S3_FUSED_3	B_SEQ_CACOFOLD	1.5	0	61.87	7
PIL	PIL_S3_FUSED_3	B_STRUCT_CACOFOLD	1.8	2	54.91	7
PIL	PIL_S3_FUSED_4	A_SPIRE	3.2	1	58.32	18
PIL	PIL_S3_FUSED_4	B_SEQ_CACOFOLD	9.3	0	63.65	18
PIL	PIL_S3_FUSED_4	B_STRUCT_CACOFOLD	3.8	2	58.32	18
PIL	PIL_S3_FUSED_5	A_SPIRE	2.8	2	46.53	6
PIL	PIL_S3_FUSED_5	B_SEQ_CACOFOLD	4.2	0	50.66	6
PIL	PIL_S3_FUSED_5	B_STRUCT_CACOFOLD	2.7	2	46.53	6
PIL	PIL_S5_SEQONLY_1	A_SPIRE	0.9	2	51.5	5
PIL	PIL_S5_SEQONLY_1	B_SEQ_CACOFOLD	0.2	0	67.32	5
PIL	PIL_S5_SEQONLY_1	B_STRUCT_CACOFOLD	0.9	2	51.5	5
PIL	PIL_S5_SEQONLY_2	A_SPIRE	2.3	0	30.1	5
PIL	PIL_S5_SEQONLY_2	B_SEQ_CACOFOLD	3.4	0	37.41	5
PIL	PIL_S5_SEQONLY_2	B_STRUCT_CACOFOLD	2.7	0	30.1	5
PIL	PIL_S5_SEQONLY_3	A_SPIRE	3.2	1	25.42	6
